checkpoint (in update steps),relation_type,metric_name,metric
486612,N-1,P@ks_str,"{1: 0.05700000000000001, 5: 0.1304869565217391, 10: 0.1667391304347826}"
486612,N-M,P@ks_str,"{1: 0.06309375, 5: 0.11293750000000001, 10: 0.14075625}"
509784,1-1,P@ks_str,"{1: 0.0383, 5: 0.11415, 10: 0.1601}"
509784,N-1,P@ks_str,"{1: 0.025782608695652173, 5: 0.0738521739130435, 10: 0.11885217391304347}"
509784,N-M,P@ks_str,"{1: 0.0689125, 5: 0.13581875000000002, 10: 0.16157499999999997}"
532956,1-1,P@ks_str,"{1: 0.065, 5: 0.17980000000000002, 10: 0.23325}"
532956,N-1,P@ks_str,"{1: 0.04183478260869565, 5: 0.1164, 10: 0.1674695652173913}"
532956,N-M,P@ks_str,"{1: 0.0679875, 5: 0.13554375000000002, 10: 0.165325}"
556128,1-1,P@ks_str,"{1: 0.0669, 5: 0.1769, 10: 0.23605}"
556128,N-1,P@ks_str,"{1: 0.04413913043478259, 5: 0.11907391304347827, 10: 0.17082608695652174}"
556128,N-M,P@ks_str,"{1: 0.06531249999999998, 5: 0.11415625, 10: 0.14098125}"
579300,1-1,P@ks_str,"{1: 0.0984, 5: 0.2374, 10: 0.2874}"
579300,N-1,P@ks_str,"{1: 0.05963478260869565, 5: 0.1432, 10: 0.19511304347826086}"
579300,N-M,P@ks_str,"{1: 0.0762125, 5: 0.13960625000000002, 10: 0.17193749999999997}"
602472,1-1,P@ks_str,"{1: 0.1031, 5: 0.222, 10: 0.27185}"
602472,N-1,P@ks_str,"{1: 0.05070869565217392, 5: 0.12088695652173914, 10: 0.1671}"
602472,N-M,P@ks_str,"{1: 0.07469375, 5: 0.12937500000000002, 10: 0.16150625000000005}"
625644,1-1,P@ks_str,"{1: 0.08764999999999999, 5: 0.22915000000000002, 10: 0.27985}"
625644,N-1,P@ks_str,"{1: 0.06227391304347828, 5: 0.1358652173913044, 10: 0.17879565217391305}"
625644,N-M,P@ks_str,"{1: 0.07819375000000002, 5: 0.14976875, 10: 0.18285}"
648816,1-1,P@ks_str,"{1: 0.12315000000000001, 5: 0.26705, 10: 0.32395}"
648816,N-1,P@ks_str,"{1: 0.049739130434782605, 5: 0.13013913043478262, 10: 0.18490434782608695}"
648816,N-M,P@ks_str,"{1: 0.07413125, 5: 0.13460624999999998, 10: 0.1689125}"
671988,1-1,P@ks_str,"{1: 0.1121, 5: 0.24919999999999998, 10: 0.32515}"
671988,N-1,P@ks_str,"{1: 0.05088260869565218, 5: 0.13953478260869565, 10: 0.19146086956521738}"
671988,N-M,P@ks_str,"{1: 0.07234375, 5: 0.14115625, 10: 0.17775625}"
695160,1-1,P@ks_str,"{1: 0.12115, 5: 0.24135, 10: 0.2822}"
695160,N-1,P@ks_str,"{1: 0.059704347826086954, 5: 0.1467913043478261, 10: 0.19140869565217394}"
695160,N-M,P@ks_str,"{1: 0.08315000000000003, 5: 0.15636250000000002, 10: 0.19928750000000003}"
718332,1-1,P@ks_str,"{1: 0.12885000000000002, 5: 0.2843, 10: 0.31705}"
718332,N-1,P@ks_str,"{1: 0.042991304347826075, 5: 0.1100782608695652, 10: 0.15954782608695653}"
718332,N-M,P@ks_str,"{1: 0.0763625, 5: 0.1398875, 10: 0.17589375}"
741504,1-1,P@ks_str,"{1: 0.10439999999999999, 5: 0.26880000000000004, 10: 0.3257}"
741504,N-1,P@ks_str,"{1: 0.05037391304347826, 5: 0.11983478260869561, 10: 0.17333478260869564}"
741504,N-M,P@ks_str,"{1: 0.08088125000000003, 5: 0.1434, 10: 0.17478750000000004}"
764676,1-1,P@ks_str,"{1: 0.0803, 5: 0.19615, 10: 0.2696}"
764676,N-1,P@ks_str,"{1: 0.0383, 5: 0.09367826086956522, 10: 0.13832608695652174}"
764676,N-M,P@ks_str,"{1: 0.07691250000000001, 5: 0.1521375, 10: 0.18624374999999999}"
787848,1-1,P@ks_str,"{1: 0.12940000000000002, 5: 0.26795, 10: 0.32489999999999997}"
