checkpoint (in update steps),relation_type,metric_name,metric
380000,N-M,P@ks_str,"{1: 0.14911875, 5: 0.2786562500000001, 10: 0.35203124999999996}"
400000,1-1,P@ks_str,"{1: 0.4591, 5: 0.63995, 10: 0.6993}"
400000,N-1,P@ks_str,"{1: 0.1978130434782609, 5: 0.3544260869565217, 10: 0.45216086956521734}"
400000,N-M,P@ks_str,"{1: 0.17894375, 5: 0.3133125, 10: 0.38624375000000005}"
420000,1-1,P@ks_str,"{1: 0.47109999999999996, 5: 0.6692500000000001, 10: 0.7121}"
420000,N-1,P@ks_str,"{1: 0.20455217391304348, 5: 0.3777260869565218, 10: 0.46406086956521736}"
420000,N-M,P@ks_str,"{1: 0.16655625000000002, 5: 0.30560000000000004, 10: 0.38485}"
440000,1-1,P@ks_str,"{1: 0.46975, 5: 0.6506, 10: 0.7014499999999999}"
440000,N-1,P@ks_str,"{1: 0.21556086956521742, 5: 0.37779565217391303, 10: 0.46614782608695654}"
440000,N-M,P@ks_str,"{1: 0.16599375000000002, 5: 0.31491249999999993, 10: 0.39200625}"
460000,1-1,P@ks_str,"{1: 0.5098, 5: 0.6583, 10: 0.70765}"
460000,N-1,P@ks_str,"{1: 0.2148260869565218, 5: 0.3904260869565217, 10: 0.4749434782608696}"
460000,N-M,P@ks_str,"{1: 0.16368749999999999, 5: 0.31206875, 10: 0.3974125}"
480000,1-1,P@ks_str,"{1: 0.49765000000000004, 5: 0.6828000000000001, 10: 0.72815}"
480000,N-1,P@ks_str,"{1: 0.21353478260869568, 5: 0.380904347826087, 10: 0.46126086956521734}"
480000,N-M,P@ks_str,"{1: 0.168325, 5: 0.32018750000000007, 10: 0.41283749999999997}"
500000,1-1,P@ks_str,"{1: 0.50325, 5: 0.6738, 10: 0.7303}"
500000,N-1,P@ks_str,"{1: 0.20926086956521742, 5: 0.3802130434782609, 10: 0.45657826086956527}"
500000,N-M,P@ks_str,"{1: 0.18486249999999999, 5: 0.312925, 10: 0.38439999999999996}"
520000,1-1,P@ks_str,"{1: 0.5018, 5: 0.6614, 10: 0.7001000000000001}"
520000,N-1,P@ks_str,"{1: 0.19070000000000004, 5: 0.37787826086956516, 10: 0.46885217391304357}"
520000,N-M,P@ks_str,"{1: 0.16809375, 5: 0.32136875, 10: 0.4013874999999999}"
540000,1-1,P@ks_str,"{1: 0.50915, 5: 0.68065, 10: 0.7481}"
540000,N-1,P@ks_str,"{1: 0.20680434782608695, 5: 0.3874173913043478, 10: 0.4714565217391304}"
540000,N-M,P@ks_str,"{1: 0.15889999999999999, 5: 0.2952625000000001, 10: 0.38142499999999996}"
560000,1-1,P@ks_str,"{1: 0.50075, 5: 0.6594, 10: 0.73055}"
560000,N-1,P@ks_str,"{1: 0.2020173913043478, 5: 0.3563173913043478, 10: 0.4353608695652174}"
560000,N-M,P@ks_str,"{1: 0.1658125, 5: 0.29808124999999996, 10: 0.3817437500000001}"
580000,1-1,P@ks_str,"{1: 0.48785, 5: 0.6639, 10: 0.70435}"
580000,N-1,P@ks_str,"{1: 0.21103478260869568, 5: 0.3706304347826086, 10: 0.45741304347826073}"
580000,N-M,P@ks_str,"{1: 0.16723125000000003, 5: 0.31106875, 10: 0.38352499999999995}"
600000,1-1,P@ks_str,"{1: 0.49715, 5: 0.6623, 10: 0.709}"
600000,N-1,P@ks_str,"{1: 0.1932565217391304, 5: 0.3591086956521739, 10: 0.43830434782608696}"
600000,N-M,P@ks_str,"{1: 0.15513125, 5: 0.2841187500000001, 10: 0.362175}"
620000,1-1,P@ks_str,"{1: 0.5004500000000001, 5: 0.6734, 10: 0.70225}"
620000,N-1,P@ks_str,"{1: 0.20310434782608697, 5: 0.3795347826086956, 10: 0.4552217391304348}"
620000,N-M,P@ks_str,"{1: 0.17074375000000003, 5: 0.31442499999999995, 10: 0.3899125}"
640000,1-1,P@ks_str,"{1: 0.52295, 5: 0.67125, 10: 0.71765}"
640000,N-1,P@ks_str,"{1: 0.2078956521739131, 5: 0.389604347826087, 10: 0.46649565217391314}"
640000,N-M,P@ks_str,"{1: 0.1714125, 5: 0.32693125000000006, 10: 0.40386875}"
660000,1-1,P@ks_str,"{1: 0.4986, 5: 0.665, 10: 0.70755}"
660000,N-1,P@ks_str,"{1: 0.20040869565217387, 5: 0.38623913043478275, 10: 0.46549565217391314}"
660000,N-M,P@ks_str,"{1: 0.177475, 5: 0.314275, 10: 0.38245624999999994}"
680000,1-1,P@ks_str,"{1: 0.47745000000000004, 5: 0.6575500000000001, 10: 0.7029}"
680000,N-1,P@ks_str,"{1: 0.20200434782608695, 5: 0.36404782608695657, 10: 0.43591304347826104}"
680000,N-M,P@ks_str,"{1: 0.18326875000000004, 5: 0.33591250000000006, 10: 0.4179062499999999}"
700000,1-1,P@ks_str,"{1: 0.5232, 5: 0.6750499999999999, 10: 0.7093}"
700000,N-1,P@ks_str,"{1: 0.2207, 5: 0.3809956521739131, 10: 0.458295652173913}"
700000,N-M,P@ks_str,"{1: 0.18653750000000002, 5: 0.32522499999999993, 10: 0.40623125000000004}"
720000,1-1,P@ks_str,"{1: 0.53625, 5: 0.68945, 10: 0.72365}"
720000,N-1,P@ks_str,"{1: 0.2122, 5: 0.38638695652173916, 10: 0.46341739130434795}"
720000,N-M,P@ks_str,"{1: 0.18407500000000002, 5: 0.324325, 10: 0.4019375}"
740000,1-1,P@ks_str,"{1: 0.48640000000000005, 5: 0.66355, 10: 0.71965}"
740000,N-1,P@ks_str,"{1: 0.20207391304347827, 5: 0.3689478260869565, 10: 0.4434869565217391}"
740000,N-M,P@ks_str,"{1: 0.17129375000000002, 5: 0.3101812499999999, 10: 0.3838125}"
760000,1-1,P@ks_str,"{1: 0.50535, 5: 0.67445, 10: 0.71695}"
760000,N-1,P@ks_str,"{1: 0.20839565217391304, 5: 0.3585391304347826, 10: 0.4489260869565218}"
760000,N-M,P@ks_str,"{1: 0.16691875, 5: 0.29933125000000005, 10: 0.37065}"
780000,1-1,P@ks_str,"{1: 0.51205, 5: 0.6713500000000001, 10: 0.72545}"
780000,N-1,P@ks_str,"{1: 0.20895652173913043, 5: 0.37938260869565216, 10: 0.45921304347826075}"
780000,N-M,P@ks_str,"{1: 0.18216875000000002, 5: 0.31558125, 10: 0.39098124999999995}"
800000,1-1,P@ks_str,"{1: 0.5144500000000001, 5: 0.6892, 10: 0.72645}"
800000,N-1,P@ks_str,"{1: 0.21433478260869562, 5: 0.3674043478260869, 10: 0.46095652173913054}"
800000,N-M,P@ks_str,"{1: 0.18475624999999998, 5: 0.3382, 10: 0.42538750000000003}"
820000,1-1,P@ks_str,"{1: 0.48850000000000005, 5: 0.66565, 10: 0.7186999999999999}"
820000,N-1,P@ks_str,"{1: 0.211995652173913, 5: 0.37754782608695653, 10: 0.4528695652173913}"
820000,N-M,P@ks_str,"{1: 0.18161875, 5: 0.3186875, 10: 0.39651875000000003}"
840000,1-1,P@ks_str,"{1: 0.4724, 5: 0.6755, 10: 0.7113999999999999}"
840000,N-1,P@ks_str,"{1: 0.20850869565217386, 5: 0.3789869565217391, 10: 0.45281304347826085}"
840000,N-M,P@ks_str,"{1: 0.17932499999999998, 5: 0.32076249999999995, 10: 0.4049062499999999}"
860000,1-1,P@ks_str,"{1: 0.5127, 5: 0.6729499999999999, 10: 0.7323999999999999}"
860000,N-1,P@ks_str,"{1: 0.20959565217391302, 5: 0.37200000000000005, 10: 0.44734347826086956}"
860000,N-M,P@ks_str,"{1: 0.19471249999999998, 5: 0.32420625, 10: 0.39152500000000007}"
880000,1-1,P@ks_str,"{1: 0.51135, 5: 0.6980000000000001, 10: 0.72645}"
880000,N-1,P@ks_str,"{1: 0.21450869565217393, 5: 0.3747130434782609, 10: 0.44921304347826074}"
880000,N-M,P@ks_str,"{1: 0.1934125, 5: 0.3253125, 10: 0.40188125}"
900000,1-1,P@ks_str,"{1: 0.5277000000000001, 5: 0.7001000000000001, 10: 0.7332000000000001}"
900000,N-1,P@ks_str,"{1: 0.2202130434782609, 5: 0.37272173913043466, 10: 0.4436739130434783}"
900000,N-M,P@ks_str,"{1: 0.18309375000000003, 5: 0.32363125000000004, 10: 0.40261874999999997}"
920000,1-1,P@ks_str,"{1: 0.5084500000000001, 5: 0.6885000000000001, 10: 0.7323999999999999}"
920000,N-1,P@ks_str,"{1: 0.2141913043478261, 5: 0.3727086956521739, 10: 0.4500304347826087}"
920000,N-M,P@ks_str,"{1: 0.17928125000000003, 5: 0.32098124999999994, 10: 0.39670625}"
940000,1-1,P@ks_str,"{1: 0.50685, 5: 0.6945, 10: 0.736}"
940000,N-1,P@ks_str,"{1: 0.2223565217391304, 5: 0.376513043478261, 10: 0.45138260869565217}"
940000,N-M,P@ks_str,"{1: 0.1832625, 5: 0.31650625, 10: 0.38861875}"
960000,1-1,P@ks_str,"{1: 0.5285, 5: 0.6945, 10: 0.7293499999999999}"
960000,N-1,P@ks_str,"{1: 0.22147826086956518, 5: 0.3736260869565217, 10: 0.45299999999999996}"
960000,N-M,P@ks_str,"{1: 0.17841875, 5: 0.317425, 10: 0.39100625}"
980000,1-1,P@ks_str,"{1: 0.5308999999999999, 5: 0.69665, 10: 0.7398499999999999}"
980000,N-1,P@ks_str,"{1: 0.21995652173913044, 5: 0.37772173913043483, 10: 0.4556434782608696}"
980000,N-M,P@ks_str,"{1: 0.17454375000000003, 5: 0.31170000000000003, 10: 0.39087500000000003}"
1000000,1-1,P@ks_str,"{1: 0.5302499999999999, 5: 0.6977, 10: 0.7381500000000001}"
1000000,N-1,P@ks_str,"{1: 0.22117391304347822, 5: 0.3758565217391304, 10: 0.45452173913043475}"
1000000,N-M,P@ks_str,"{1: 0.17850000000000002, 5: 0.31579999999999997, 10: 0.39471249999999997}"
