checkpoint (in update steps),relation_type,metric_name,metric
440000,1-1,P@ks_str,"{1: 0.47895000000000004, 5: 0.6728500000000001, 10: 0.7293499999999999}"
440000,N-1,P@ks_str,"{1: 0.219095652173913, 5: 0.37663043478260877, 10: 0.44638260869565216}"
440000,N-M,P@ks_str,"{1: 0.20918749999999997, 5: 0.34094375, 10: 0.42096875}"
460000,1-1,P@ks_str,"{1: 0.47930000000000006, 5: 0.68095, 10: 0.72805}"
460000,N-1,P@ks_str,"{1: 0.24269565217391303, 5: 0.39738695652173917, 10: 0.47857826086956523}"
460000,N-M,P@ks_str,"{1: 0.19856250000000003, 5: 0.34045, 10: 0.4109875}"
480000,1-1,P@ks_str,"{1: 0.50895, 5: 0.6764, 10: 0.7332000000000001}"
480000,N-1,P@ks_str,"{1: 0.22291739130434782, 5: 0.39186521739130425, 10: 0.4700782608695652}"
480000,N-M,P@ks_str,"{1: 0.22576874999999996, 5: 0.3638, 10: 0.437775}"
500000,1-1,P@ks_str,"{1: 0.5018, 5: 0.7009000000000001, 10: 0.7514000000000001}"
500000,N-1,P@ks_str,"{1: 0.23328695652173911, 5: 0.3923695652173912, 10: 0.4655434782608696}"
500000,N-M,P@ks_str,"{1: 0.21563749999999995, 5: 0.370575, 10: 0.4464125}"
520000,1-1,P@ks_str,"{1: 0.5019, 5: 0.6913, 10: 0.7398499999999999}"
520000,N-1,P@ks_str,"{1: 0.24088260869565215, 5: 0.39739565217391304, 10: 0.4754999999999999}"
520000,N-M,P@ks_str,"{1: 0.22569999999999998, 5: 0.37571250000000006, 10: 0.4496375}"
540000,1-1,P@ks_str,"{1: 0.4745, 5: 0.6813500000000001, 10: 0.72655}"
540000,N-1,P@ks_str,"{1: 0.23808260869565218, 5: 0.4061739130434781, 10: 0.48865652173913054}"
540000,N-M,P@ks_str,"{1: 0.23375625000000005, 5: 0.37331249999999994, 10: 0.44935625}"
560000,1-1,P@ks_str,"{1: 0.48210000000000003, 5: 0.6799000000000001, 10: 0.7416}"
560000,N-1,P@ks_str,"{1: 0.2270391304347826, 5: 0.4020695652173913, 10: 0.4792782608695653}"
560000,N-M,P@ks_str,"{1: 0.22157499999999997, 5: 0.38320625, 10: 0.46188750000000006}"
580000,1-1,P@ks_str,"{1: 0.5191, 5: 0.682, 10: 0.73255}"
580000,N-1,P@ks_str,"{1: 0.23818695652173913, 5: 0.4067826086956521, 10: 0.48979565217391297}"
580000,N-M,P@ks_str,"{1: 0.20702500000000001, 5: 0.38109375, 10: 0.46375625000000004}"
600000,1-1,P@ks_str,"{1: 0.4811500000000001, 5: 0.6706000000000001, 10: 0.73055}"
600000,N-1,P@ks_str,"{1: 0.2379173913043478, 5: 0.40834347826086964, 10: 0.48619130434782615}"
600000,N-M,P@ks_str,"{1: 0.22818124999999997, 5: 0.37659375000000006, 10: 0.44984375}"
620000,1-1,P@ks_str,"{1: 0.49345, 5: 0.6828000000000001, 10: 0.7291}"
620000,N-1,P@ks_str,"{1: 0.23281304347826087, 5: 0.4079652173913044, 10: 0.4909086956521739}"
620000,N-M,P@ks_str,"{1: 0.23430624999999997, 5: 0.38323750000000006, 10: 0.45565}"
640000,1-1,P@ks_str,"{1: 0.4749, 5: 0.67825, 10: 0.7417}"
640000,N-1,P@ks_str,"{1: 0.21693043478260865, 5: 0.4006782608695652, 10: 0.48174347826086966}"
640000,N-M,P@ks_str,"{1: 0.22881875000000002, 5: 0.36729999999999996, 10: 0.43813749999999996}"
660000,1-1,P@ks_str,"{1: 0.50765, 5: 0.7, 10: 0.7584500000000001}"
660000,N-1,P@ks_str,"{1: 0.2321869565217391, 5: 0.40731739130434796, 10: 0.4715565217391305}"
660000,N-M,P@ks_str,"{1: 0.22804375000000002, 5: 0.38141250000000004, 10: 0.46148125}"
680000,1-1,P@ks_str,"{1: 0.4983, 5: 0.6796, 10: 0.7291}"
680000,N-1,P@ks_str,"{1: 0.23550434782608695, 5: 0.4085739130434782, 10: 0.48146086956521744}"
680000,N-M,P@ks_str,"{1: 0.2394, 5: 0.3832375, 10: 0.45832500000000004}"
700000,1-1,P@ks_str,"{1: 0.495, 5: 0.69465, 10: 0.73535}"
700000,N-1,P@ks_str,"{1: 0.2356391304347826, 5: 0.4154913043478261, 10: 0.48878260869565215}"
700000,N-M,P@ks_str,"{1: 0.2359625, 5: 0.39868125, 10: 0.4726375}"
720000,1-1,P@ks_str,"{1: 0.48555, 5: 0.6856, 10: 0.7374499999999999}"
720000,N-1,P@ks_str,"{1: 0.2393434782608696, 5: 0.4069652173913043, 10: 0.49161739130434784}"
720000,N-M,P@ks_str,"{1: 0.24125625, 5: 0.39529375000000005, 10: 0.47683749999999997}"
740000,1-1,P@ks_str,"{1: 0.47275, 5: 0.66845, 10: 0.7217500000000001}"
740000,N-1,P@ks_str,"{1: 0.22478695652173908, 5: 0.3843478260869565, 10: 0.4655869565217391}"
740000,N-M,P@ks_str,"{1: 0.22833750000000003, 5: 0.376275, 10: 0.4580937500000001}"
760000,1-1,P@ks_str,"{1: 0.4921, 5: 0.68065, 10: 0.72165}"
760000,N-1,P@ks_str,"{1: 0.23533478260869564, 5: 0.40528260869565214, 10: 0.49070869565217384}"
760000,N-M,P@ks_str,"{1: 0.22433125, 5: 0.3751437499999999, 10: 0.4545249999999999}"
780000,1-1,P@ks_str,"{1: 0.4864, 5: 0.6716500000000001, 10: 0.7239}"
780000,N-1,P@ks_str,"{1: 0.23932608695652172, 5: 0.41039565217391305, 10: 0.49389565217391296}"
780000,N-M,P@ks_str,"{1: 0.23953124999999997, 5: 0.38088125000000006, 10: 0.4577499999999999}"
800000,1-1,P@ks_str,"{1: 0.5011, 5: 0.694, 10: 0.73535}"
800000,N-1,P@ks_str,"{1: 0.23535652173913046, 5: 0.40317391304347827, 10: 0.4834608695652172}"
800000,N-M,P@ks_str,"{1: 0.233375, 5: 0.37779374999999993, 10: 0.45630000000000004}"
820000,1-1,P@ks_str,"{1: 0.5004500000000001, 5: 0.6824, 10: 0.7378499999999999}"
820000,N-1,P@ks_str,"{1: 0.24158695652173917, 5: 0.43214347826086963, 10: 0.5056695652173913}"
820000,N-M,P@ks_str,"{1: 0.2276125, 5: 0.36883750000000004, 10: 0.4479375000000001}"
840000,1-1,P@ks_str,"{1: 0.51125, 5: 0.69465, 10: 0.7378499999999999}"
840000,N-1,P@ks_str,"{1: 0.24263478260869567, 5: 0.4271217391304347, 10: 0.5015347826086957}"
840000,N-M,P@ks_str,"{1: 0.23439374999999996, 5: 0.37868750000000007, 10: 0.448175}"
860000,1-1,P@ks_str,"{1: 0.49065000000000003, 5: 0.6877, 10: 0.7368}"
860000,N-1,P@ks_str,"{1: 0.24134782608695657, 5: 0.416695652173913, 10: 0.4934478260869565}"
860000,N-M,P@ks_str,"{1: 0.23489999999999994, 5: 0.3884625, 10: 0.46350625}"
880000,1-1,P@ks_str,"{1: 0.5046, 5: 0.69505, 10: 0.7368}"
880000,N-1,P@ks_str,"{1: 0.23889130434782607, 5: 0.41371739130434787, 10: 0.4853434782608696}"
880000,N-M,P@ks_str,"{1: 0.24256250000000001, 5: 0.38054999999999994, 10: 0.45264999999999994}"
900000,1-1,P@ks_str,"{1: 0.50255, 5: 0.67415, 10: 0.7340000000000001}"
900000,N-1,P@ks_str,"{1: 0.23641739130434777, 5: 0.4175521739130434, 10: 0.49479565217391297}"
900000,N-M,P@ks_str,"{1: 0.23255, 5: 0.38170624999999997, 10: 0.45688749999999995}"
920000,1-1,P@ks_str,"{1: 0.5193500000000001, 5: 0.6993, 10: 0.7378499999999999}"
920000,N-1,P@ks_str,"{1: 0.2283130434782609, 5: 0.40735652173913034, 10: 0.4816304347826087}"
920000,N-M,P@ks_str,"{1: 0.2429375, 5: 0.38589375000000004, 10: 0.4622625}"
940000,1-1,P@ks_str,"{1: 0.51375, 5: 0.69475, 10: 0.7323}"
940000,N-1,P@ks_str,"{1: 0.23744347826086956, 5: 0.41397391304347825, 10: 0.4866478260869566}"
940000,N-M,P@ks_str,"{1: 0.24063749999999998, 5: 0.38062500000000005, 10: 0.45771874999999995}"
960000,1-1,P@ks_str,"{1: 0.50885, 5: 0.6954499999999999, 10: 0.7329000000000001}"
960000,N-1,P@ks_str,"{1: 0.23870000000000005, 5: 0.4146217391304348, 10: 0.49400000000000016}"
960000,N-M,P@ks_str,"{1: 0.23650000000000002, 5: 0.38220000000000004, 10: 0.4598}"
980000,1-1,P@ks_str,"{1: 0.50255, 5: 0.6937000000000001, 10: 0.7374499999999999}"
980000,N-1,P@ks_str,"{1: 0.2404, 5: 0.4158, 10: 0.4931521739130434}"
980000,N-M,P@ks_str,"{1: 0.23964374999999996, 5: 0.38243749999999993, 10: 0.45976249999999996}"
1000000,1-1,P@ks_str,"{1: 0.50925, 5: 0.69265, 10: 0.7396}"
1000000,N-1,P@ks_str,"{1: 0.2378782608695652, 5: 0.41509999999999997, 10: 0.4892869565217392}"
1000000,N-M,P@ks_str,"{1: 0.2406875, 5: 0.385575, 10: 0.46104999999999996}"
